"Source","Quote"
"Alyssa Anderson","Oh. Hi, Max."
"Brooke Scott","Sorry Max. I have to focus on making sure this drone doesn't crash."
"Brooke Scott","Sorry Max. I have to focus on making sure this drone doesn't crash."
"Chloe Price","After 5 years you're still Max Caulfield."
"Chloe Price","Welcome home, Max."
"Chloe Price","This shit-pit has taken everyone I've ever loved... I'd like to drop a bomb on Arcadia Bay and turn it to fucking glass..."
"Chloe Price","Welcome to 'The Real Step-douches of Arcadia Bay'."
"Chloe Price","Yes, it's been that kind of day."
"Chloe Price","Rachel Amber. She was my Angel."
"Chloe Price","Oh boo hoo, poor little rich kid."
"Chloe Price","Get that gun away from me, psycho!"
"Chloe Price","Home-shit-home."
"Chloe Price","That was her plan... our plan."
"Chloe Price","Max, start from the beginning."
"Chloe Price","I just don't think anybody is good enough for you... besides me."
"Chloe Price","Yup, yup, I'm fucking insane in the brain!"
"Chloe Price","Everybody lies. No exceptions."
"Chloe Price","As long as you're my partner in time."
"Chloe Price","Beautiful, I don't give a shit. The world is ending, cool."
"Chloe Price","Wrong. You got hella cash."
"Chloe Price","That's right. Nathan Prescott is going down."
"Chloe Price","I should've known. The Amazing SpiderMax."
"Chloe Price","I hope you checked the perimeter, as my step-Douche would say. Now, let's talk bidness."
"Chloe Price","'Hella'? I hate that word, no offense."
"Chloe Price","I'm sorry if that sounded too emo."
"Chloe Price","NO EMOJI"
"Chloe Price","Wow, your hardcore, Max! Now I can tell Warren he doesn't stand a chance! Unless he's into girl-and-girl action."
"Chloe Price","I'm gonna medicate"
"Chloe Price","Boo yaa! Get it? Like I'm a scary punk ghost."
"Chloe Price","The wi-fi out here sucks. Must take him days to download porn."
"Chloe Price","I am Price...Chloe Price..bang!"
"Chloe Price","Hella? See, I am a good bad influence on you."
"Chloe Price","Amazeballs! I literally got chills all over my neck."
"Chloe Price","You better not rewind and take that kiss back."
"Chloe Price","It's the company I keep..."
"Chloe Price","Crazy shit is the new normal for me."
"Chloe Price","Max, this is the only way."
"Chloe Price","Life is...so unfair."
"Chloe Price","Max is a fucking child."
"Chloe Price","Even my step... father deserves to be alive."
"Chloe Price","Who knows, maybe this could be Rachel's revenge. Our revenge."
"Chloe Price","There's so many more people in Arcadia Bay who should live... way more than me..."
"Chloe Price","I know I've been selfish, but for once I think I should accept my fate... our fate..."
"Chloe Price","Max, you finally came back to me this week, and... you did nothing but show me your love and friendship."
"Chloe Price","Wherever I end up after this... in whatever reality... all those moments between us were real, and they'll always be ours."
"Chloe Price","Max... it's time..."
"Chloe Price","Max.....I'll always be with you."
"Chloe Price","Do your powers include mind reading or did you just go back in time because I tried to steal the cozy chair? Shit now I'm confused..."
"Chloe Price","Max Caulfield... Don't you forget about me"
"Dana Ward","Max, you're smart to be a loner here."
"Hayden","Oh please. Nathan is like everybody's voodoo doll. 'Kill the rich kid!'."
"Juliet Watson","Thanks Max. You're like the Blackwell Ninja."
"Juliet Watson","Oh yes, Max. I locked Dana in there because we're 'cool'"
"Justin","Check out the Max. Come to thrash?"
"Justin","Let's get Trevor all over that action!"
"Kate Marsh","Nobody cares. Nobody"
"Mark Jefferson","Can you give me an example of a photographer who perfectly captured the human condition in black and white?"
"Mark Jefferson","I could frame any one of you in a dark corner, and capture you in a moment of desperation. And any of you could do that to me. Isn't that too easy? Too obvious?"
"Mark Jefferson","John Lennon once said that Life is what happens while you're busy making other plans.."
"Mark Jefferson","This angle highlights your purity, see?"
"Mark Jefferson","The slightly unconscious model is often the most open and honest. No vanity or posing, just... pure expression."
"Mark Jefferson","Oh, Max! You fucked up my shot!"
"Mark Jefferson","I'm obsessed with the idea of capturing that moment, that shift, from black, to white, to grey, and beyond."
"Max Caulfield","Are you cereal?"
"Max Caulfield","Max you are not crazy. You are not dreaming. It’s time to be an everyday hero."
"Max Caulfield","When a door closes, a window opens... Or something like that."
"Max Caulfield","Ahoy, Captain. At least I know you've got my back. When I swallowed your eye and my parents rushed me to the ER, I knew we were bonded forever..."
"Max Caulfield","So cheesy, but, it makes me smile, thinking of the day Mom and I sewed that together."
"Max Caulfield","I love that Mom sent me a fat box of chocolate coconut bites for my birthday, and $200 gift certificate. She sure knows how to make a sad birthday happy."
"Max Caulfield","Samuel is such a weirdo. But I kinda like that about him."
"Max Caulfield","Joyce still works at Two Whales Diner. Best damn burgers in Arcadia!"
"Max Caulfield","We made this grave for Chloe's kitty. Poor Bongo. He never saw that car coming."
"Max Caulfield","With great power comes great bullshit"
"Max Caulfield","The guy has his own style..."
"Max Caulfield","I'm so glad you're my partner in crime."
"Max Caulfield","Rachel in 'The Dark Room' over and over...."
"Max Caulfield","Welcome to the real world..."
"Max Caulfield","Empty. Good. Nobody can see my meltdown. Except for me."
"Max Caulfield","Chloe....Jefferson drugged and kidnapped me."
"Max Caulfield","Max, never Maxine."
"Max Caulfield","The last time I got the flu shot, I got the flu. Fuck you."
